Title,Summary,Source,Source,Topic,Business line
Delta TechOps and Orix Aviation Systems Ltd. Sign Major Engine Maintenance Contract,"Delta TechOps (DTO), the maintenance, repair and overhaul division of Delta Air Lines, announced that is has signed a five-Year Maintenance Services Agreement with top-tier aircraft leasing company, ORIX Aviation Systems, Ltd.",AviationPros.com,AviationPros.com,Deal,Generic
TAI nabs partner for aviation centre,"Thai Aerospace Industries (TAI) has teamed up with Dviation Solutions of Malaysia to establish an aviation training and examination centre in Thailand, expecting to train 500 local technicians in the maintenance, repair and overhaul (MRO) sector.",Bangkok Post,Bangkok Post,Deal,Generic
"Panasonic Avionics Preparing for XTS in Asia, Transitioning Airlines to New Modem","Panasonic Avionics has installed its third generation modem on 1,100 aircraft and is preparing to support a promised generational leap in in-flight connectivity speeds for airlines flying in the Asia-Pacific region once the next generation Extreme Throughput Satellite (XTS) service becomes available there next year.",Avionics International,Avionics International,New technology,Commercial
Mitsubishi announces aircraft design centre in Montreal for SpaceJet,"MONTREAL â€“ The Mitsubishi Aircraft Corp. is putting down roots in Quebec, unveiling.The office will be part of the company's push to get a single-aisle airliner off the.on the region's technical expertise to develop the SpaceJet airplane family..CRJ Series aircraft saw the company scoop up the program's maintenance,Â",MRO Magazine,MRO Magazine,New facility,Commercial
Italeaf: Softeco (TerniEnergia Group) and Fincons awarded a framework contract to EASA for new aviation safety platform,"TerniEnergia, smart company listed on MTA of Borsa Italiana and part of the Italeaf Group, announces that the Group's digital company, Softeco Sismat, in partnership with Fincons S.p.A., has won the tender launched by EASA (European Aviation Safety Agency) based in Cologne (DEU) for the development of a new platform for aviation transport safety based on the refactoring of the ECCAIRS system.",GlobeNewswire,GlobeNewswire,Deal,Generic
Wheels Up Making Tech Acquisition,"Wheels Up has entered into a definitive agreement to acquire some of the assets of flight management systems provider Avianis Systems. The move is expected to accelerate development of the private aviation membership company’s next-generation digital services, including its charter marketplace.",Aviation International News,Aviation International News,M&A,Generic
FL Technics provides line maintenance services to Airbus A320neo family aircraft,FL Technics gets EASA Part-145 approval to provide line maintenance services to Airbus A320neo family aircraft.,Air & Cosmos,Air & Cosmos,Deal,Commercial
AerFin Acquired By Private Equity Firm,Denmark’s CataCap has taken majority ownership of the company which it plans to expand further internationally.,MRO Network,MRO Network,M&A,Executive
Victrex and Safran Cabin to Launch Flexible Composite Platform for Multiple Aircraft Bracket Projects,Safran Cabin and Victrex worked together to qualify thermoplastic composite parts on aircraft.,AviationPros.com,AviationPros.com,Deal,Generic
Bombardier's Newest Globals Get Transport Canada OK,"Bombardier obtained Transport Canada certification for its newest members of the Global family, the 5500 and 6500, and anticipates EASA and FAA approvals, along with service entry, to follow shortly, the company announced today.",Aviation International News,Aviation International News,New aircraft,Executive
STS Takes a Bite of Apple Aviation,"Less than a week after UK MRO provider AerFin was acquired by a Danish private equity firm, further UK aftermarket M&A activity took place on Monday (Sept. 23) with STS Aviation Group acquiring Apple Aviation.",MRO Network,MRO Network,M&A,Commercial
GE Capital Aviation Services sees pre-tax profits soar,Pre-tax profits at one of the world’s largest leasing aircraft firms GE Capital Aviation Services (GECAS) last year soared by 86 per cent to $1.79 billion (€1.62 billion).,Irish Times,Irish Times,Financial,Commercial
JSSI Acquires MRO Tech Firm Tracware,"In a bid to bolster its technology-based services, Jet Support Services (JSSI) has acquired Tracware, a UK-based developer of process control software to manage workflows for third-party MRO providers, OEMs, and aircraft management firms.",Aviation International News,Aviation International News,M&A,Executive
Volga-Dnepr Technics Moscow Receives EASA Approval for Boeing 777-200/-300 Maintenance at Sheremetyevo International Airport,Volga-Dnepr Technics Moscow (VDTM) has received the approval of the European Aviation Safety Agency (EASA) for the maintenance of Boeing 777-200/-300 aircraft at Sheremetyevo Airport.,AviationPros.com,AviationPros.com,Deal,Commercial
"Ghana wins 2 awards for highest aviation safety, security standards",Ghana was awarded the ICAO Council President certificate for maintaining one of the highest aviation safety and security standards globally. ,Myjoyonline.com,Myjoyonline.com,Regulation,Commercial
"Airbus vai fazer turnê do A220 pela China, em busca de novas encomendas","Devido a esse ponto, a Airbus está estudando uma turnê com o A220 na China",Aeroflap,Aeroflap,Market,Commercial
Boeing announces service deals for Asia-Pacific,Boeing announced orders and agreements with Asia-Pacific airlines to support customers in the rapidly growing region. The digital and supply chain deals focus on airline crew situational awareness and Boeing says will also help save on costs.,Asian Aviation,Asian Aviation,Deal,Commercial
"Vistara signs pact with Airbus for parts, engineering support",European aviation major Airbus said on Wednesday it will provide component support and repair to the A320 fleet of Vistara.,Economic Times,Economic Times,Deal,Commercial
Myanmar National Airlines Picks BAPAS For Logistics Support,The Myanmese carrier is Boeing Asia Pacific Aviation Services' first foreign based client.,MRO Network,MRO Network,Deal,Commercial
Liebherr-Aerospace Signs Landing Gear Overhaul Agreement with J-Air,Liebherr-Aerospace has signed a long-term service agreement with J-Air covering the overhaul of the landing gear systems of the airline’s 15 Embraer E170 family aircraft.,AviationPros.com,AviationPros.com,Other serving Embraer airplanes,Commercial
Airbus Intends to Charge Royalty Fees On MRO Invoices,Airbus notified MROs that it intends to start charging a royalty fee on maintenance revenues.,MRO Network,MRO Network,Deal,Commercial
Safran Pours Focus Into Asia As It Secures NacelleLife Deals,"As more carriers in Asia-Pacific take deliveries of aircraft with Safran nacelles, the company is increasing its footprint in the region",MRO Network,MRO Network,Deal,Commercial
"Zipair Identifies JALEC as MRO Provider, First Aircraft in Hangar",The Japanese low-cost carrier is expected to commence operations in 2020.,MRO Network,MRO Network,Deal,Commercial
Ten Airlines Already Put Their Trust in Safran for Their A320neo Nacelle Repairs,"Since the entry into service of the Airbus A320neo, equipped with the CFM International LEAP-1A engines, in July 2016, ten airlines have entrusted Safran Nacelles with the repairs of their nacelle",AviationPros.com,AviationPros.com,Deal,Commercial
Cirrus Aircraft,"What It Is: A division of China Aviation Industry General Aviation (CAIGA), Cirrus Aircraft manufactures single-engine SR20 series pistons and Vision Jet SF50 turbines. Since 2005, no airframer has delivered more piston aircraft than Cirrus.",Business Jet Traveler,Business Jet Traveler,PlayerProfile,Executive
Why the US Air Force Is Looking Into Its Own 'Flying Cars',The U.S. Air Force is looking into fielding so-called “flying cars” to use as quiet transport vehicles.,Popular Mechanics,Popular Mechanics,VTOL,Military
"Garamendi, Zeldin Reintroduce Aircraft Maintenance Outsourcing Disclosure Act","This bipartisan legislation would require airlines to disclose the maintenance history for their aircraft fleets, specifically the location and date an aircraft underwent heavy maintenance—the most comprehensive test for an aircraft.",AviationPros.com,AviationPros.com,Regulation,Commercial
Ryanair suspende pagamentos à Boeing por conta da crise com o 737 MAX,"Em um novo capitulo da crise do Boeing 737, após o aterramento da variante MAX, após dois acidentes que mataram 346 passageiros, a fabricante norte-americana deixará de receber pagamentos por encomendas do modelo.",Simple Flying,Simple Flying,Reliability issues,Commercial
Middle East's business aviation sector goes green,The business aviation industry is increasingly turning to sustainable alternative jet fuels to enhance sustainability,Arabian Business,Arabian Business,Enviromental issues,Generic
"Airbus, Boeing and Comac see blue skies ahead for China’s aircraft market",The world’s two leading plane makers remain optimistic about mainland growth despite the country’s trade war with the United States,South China Morning Post,South China Morning Post,Market,Commercial
Vietnam: Competition in nation's aviation industry set to intensify,Increasing numbers of airlines and aircraft are putting serious pressure on the nation’s aviation infrastructure.,The Japan News,The Japan News,Geopolitc environment,Commercial
IATA's New Parts Portal Meant to Shave Procurement Costs,"The International Air Transport Association has launched an online tool designed to reduce over-payments for aircraft parts called MRO SmartHub, the industry group announced Monday.",Aviation International News,Aviation International News,New service,Generic
Aircraft mechanics training programs are booming,"Boeing estimates there will be demand for 193,000 aircraft mechanics over the next 20 years.",HeraldNet,HeraldNet,Market,Generic
Optomec Showcases Production Systems for the Repair of Gas Turbine Engine Components at Asia-Pac’s Premier MRO Conference,"Optomec, a global leader in production-grade additive manufacturing solutions, today announced that the company will showcase its industry proven LENS and Huffman systems for 3D printed metal repair of gas and turbine engine components at the MRO Asia- Pac conference in Singapore this week.",Business Wire,Business Wire,New service,Generic
"Introduce frequent flyer levy to fight emissions, government told","Frequent flyers should face higher taxes to help tackle aviation emissions, the government’s climate advisers say.",BBC News,BBC News,Regulation,Commercial
Aviation emissions to take center stage at Montreal gathering as protests loom,A global deal to curb carbon emissions from flying will take center stage as the U.N. aviation agency’s triennial assembly opens on Tuesday in Montreal under the shadow of protests led by Swedish activist Greta Thunberg later in the week.,Reuters,Reuters,Enviromental issues,Generic
India: National Green Aviation Policy: India's Step Towards Emission Cuts,Civil aviation is regarded as the backbone of the Indian transport industry. The use of air transport has facilitated trade and commerce because of its merits of moving goods and individuals in a secure and less time-consuming manner.,Mondaq News Alerts,Mondaq News Alerts,Enviromental issues,Generic
New Business Jets 2019,"If you build it (better), they will come. That seems to be the message the new business jet market is sending OEMs. According to data from the General Aviation Manufacturers Association (GAMA), business jet shipments increased by 12.5 percent in the first half of 2019 compared to the year-ago period.",Aviation International News,Aviation International News,New aircraft,Executive
China denounces UN aviation emissions plan,China says the UN plan to cap emissions for international flights would unfairly penalise developing countries.,Aljazeera.com,Aljazeera.com,Geopolitc environment,Commercial
3D Printing's Soaring Impact On Aviation And Aerospace,"In fact, according to a report from Research and Markets, the 3D printing market for global aerospace and defense is forecast to grow from $1.56 billion today to $5.9 billion by 2026.",Forbes,Forbes,New technology,Generic
Chinese Hackers Suspected Of Airbus Cyberattacks—A350 Among Targets,"Airbus has been hit again by nation-state cyberattacker, according to an AFP report on Thursday [September 26].",Forbes,Forbes,Cybersecurity,Commercial
FAA to test if U.S. airplane seats too tight to quickly evacuate passengers,"Amid complaints that airline seats have become too small to accommodate the average American, the U.S. government will test how fast passengers can evacuate a plane in setting minimum seat sizes for the first time.",Reuters,Reuters,Regulation,Commercial
Iran progressing in civil aviation sector,"Iran’s transportation minister says the country is making a good progress in developing its civil aviation sector, adding that aircraft parts are now manufactured inside Iran without any assistance from the foreigners.",Hanford Sentinel,Hanford Sentinel,Geopolitc environment,Generic
"China's Comac Inches Forward, C919 Timeline Still Uncertain","While China’s Comac prepares to fly an additional two C919 prototypes this year, a shifting timeline is threatening its ability to advance its standing among the world's established aerospace companies.",Aviation International News,Aviation International News,New aircraft,Commercial
"Small, medium or large? Airbus now divides its planes by range, not size","Airbus planes will now be divided into three types: small, medium and large. But that has little to do with their size.",The Points Guy UK,The Points Guy UK,Market,Commercial
Pratt & Whitney está trabalhando em nova atualização para motor do F-35 Lightning II,"A fabricante de motores Pratt & Whitney está fazendo estudos para definir uma nova opção de atualização dos motores F-135, que equipam o caça de 5ª geração F-35.",Aeroflap,Aeroflap,New technology,Military
Textron's Citation Longitude Gets FAA Certification,"Textron Aviation’s Cessna Citation Longitude has received its long-awaited FAA type certification, the Wichita-based OEM announced today, allowing customer deliveries of the super-midsize twin to begin.",Aviation International News,Aviation International News,New aircraft,Executive
A&P Technology awarded contract for attritable aircraft primary structure,The company will uses its large-scale braiding technology to manufacture large textile preforms for primary composite attritable aircraft structures.,CompositesWorld,CompositesWorld,Gov. Contract.,Military
College undergrad's VR startup wins USAF contract,"VINCIVR, a virtual reality (VR) startup founded by a college undergrad, secured a $1 million contract with the United States Air Force (USAF) for next-gen VR training technologies.",Aerospace Manufacturing and Design,Aerospace Manufacturing and Design,Startup,Military
Consortium to develop new lightweight aircraft seat,"Williams Advanced Engineering, JPA Design, British Airways and SWS Certification have formed a consortium, supported by Airbus and funding from the Aerospace Technology Institute (ATI), to develop new lightweight aircraft seat structure capabilities in the UK, aiming to enhance the passenger experience and reduce the weight of aircraft, leading to airlines saving fuel and cutting carbon emissions.",Inside Composites,Inside Composites,R&D,Commercial
Pratt & Whitney’s Singapore Operations Get AI and Robotic Technology,Pratt & Whitney is rolling out artificial intelligence and robotics at its Singapore sites as part of its digital transformation.,MRO Network,MRO Network,AI,Generic
Virtual answer for MRO training,"‘Enhanced’ reality has lived up to its advance billing as a disruptive technology to watch in maintenance, repair and overhaul (MRO). ",Arabian Aerospace,Arabian Aerospace,New technology,Generic
Colt ready to bolt from corral,A Texas-based startup with Brazilian roots announced Sept 24 that the Colt light sport aircraft has been cleared for delivery.,AOPA Pilot,AOPA Pilot,New aircraft,Other
Airbus CEO expresses need to cut A220 costs by 20 per cent,"Lowering production costs will “allow investments to be made for the long term,"" Guillaume Faury says of the jet formerly known as the C Series.",Montreal Gazette,Montreal Gazette,Financial,Commercial
Annual 'engine summit' looks to aviation's future,Change is coming quickly and innovation will propel general aviation into a future that has only begun to emerge. AOPA is right in the thick of the action.,AOPA Pilot,AOPA Pilot,New technology,Generic
MTU Brush Seal Know-How for Aerospace Components,MTU key technology enables efficient 3D printing of extremely thin-walled aerospace parts.,AviationPros.com,AviationPros.com,New service,Generic
AFRL invents cargo aircraft tire change tool,Current C-5 cargo airplane tire replacement requires up to five Airmen with a multitude of tools to replace a tire. The Air Force Research Laboratory Junior Force Warfighter Operations Team works on a solution to make the replacement process more efficient.,US Air Force,US Air Force,New technology,Military
Lessors scramble to recover dozens of jets from Thomas Cook,"Aircraft leasing companies are launching moves to recover dozens of Airbus passenger planes after the collapse of British travel group Thomas Cook TCG.L, market sources said.",Reuters,Reuters,Trade deal,Commercial
£1.2 million boost for small firms developing future aviation technology,"Cranfield University has been awarded £1.2 million to create a UK Aviation Innovation and Technology Entrepreneurship cluster, named AVIATE+, helping small businesses develop the technology of the future.",Cranfield University,Cranfield University,Startup,Generic
Sugar cane could be the next big thing in aircraft cabins,An ongoing collaboration between TRB Lightweight Structures and Composites Evolution is aiming to develop biopanels – using resins derived from sugar cane – as a non-petroleum based alternative to the phenolic panels currently used for aircraft interiors.,Aircraft Interiors International,Aircraft Interiors International,R&D,Generic
WSU aviation biofuel research attracts interest from Delta Air Lines,Washington State University research on aviation biofuels has attracted the interest of one of the world’s largest commercial air carriers.,WSU News,WSU News,Fueling,Commercial
"Após optar pelo Airbus A220, Neeleman planeja usar Embraer da Azul para a Moxy","O empresário David Neeleman, fundador da companhia aérea brasileira Azul, disse que sua nova companhia norte-americana poderá empregar aviões Embraer usados da ​​Azul.",AEROIN,AEROIN,Self-awareness,Comercial
Embraer espera vender primeiros E175-E2 em breve,"John Slattery, presidente e CEO da Embraer Aviação Comercial, ressaltou nesta quinta-feira (12) que a fabricante ainda mantém a meta de introduzir o E175-E2 no mercado em 2021.",Airway,Airway,Self-awareness,Comercial
Embraer Sees Lifeline Beyond US as New Small Jet Is Completed,"As Embraer SA prepares to complete the first assembly of its revised regional jet on Friday, the plane will enter the market with a disadvantage: It’s too heavy to be flown under the terms of U.S. pilot contracts.",Bloomberg,Bloomberg,Self-awareness,Comercial
Gulfstream Opens MRO Expansion at Savannah HQ,"Gulfstream Aerospace cut the ribbon today on a 202,000-sq-ft/18,766-sq-m MRO facility expansion at its Savannah, Georgia headquarters.",Aviation International News,Aviation International News,New facility,Executive
Frost & Sullivan analysts identify top MRO companies,"Business consulting firm Frost & Sullivan reveals that the maintenance, repair, and overhaul (MRO) market experienced substantial growth in line with global fleet expansion.",Aerospace Manufacturing and Design,Aerospace Manufacturing and Design,Service Quality,Generic
Boeing signs MoU for USAF C-17 fleet sustainment,Boeing has signed a memorandum of understanding (MoU) to continue the sustainment of the US Air Force’s (USAF) C-17 Globemaster III military transport aircraft fleet into the next decade.,Airforce Technology,Airforce Technology,Gov. Contract.,Military
Eagle Aviation Technologies to expand manufacturing facility,"The expansion to the Newport News, Va., U.S. facility, worth an investment of more than $200,000, will add production equipment and 75 new jobs.",CompositesWorld,CompositesWorld,Expansion,Generic
FlightSafety offering training for corporate aircraft,FlightSafety International now offers safety and security training for flight crews and passengers of corporate aircraft.,Skies Magazine,Skies Magazine,New service,Generic
MedAire,"MedAire, a Phoenix-based division of International SOS, provides in-flight and on-ground medical, health, and security services and products for business and commercial aviation travelers, crews, and operators. Its services cover more than 3,700 business and general-aviation aircraft and 75 percent of Fortune 100 companies. ",Business Jet Traveler,Business Jet Traveler,New service,Executive
Magnetic expands into south-east Asia,"Magnetic MRO, the Estonian provider of specialist technical care for aircraft, has.growing market in aviation â€“ both in terms of aircraft fleets and MRO services..aircraft transition management, power-by-the-hour programmes and other products. Currently, Magnetic MRO (formerly Air Maintenance Estonia) operates inÂ",www.rusaviainsider.com,www.rusaviainsider.com,New facility,Generic
Which Airlines Have Ordered Embraer's 195-E2?,"The latest variant, the 195-E2, was rolled out in 2017 and eventually received its.Designed to compete with the Airbus A320neo, this narrowbody jet aircraft offers.The Embraer 195-E2 is a narrowbody medium-range jet airliner..its type certificate in February of 2018 from American and European aviation authorities",Simple Flying,Simple Flying,Self-awareness,Comercial
Wideroe Brings Tailored Avionics Charts to Embraer E2 Displays,"Norwegian regional airline Wideroe is adding tailored Jeppesen avionics charting to its fleet of Embraer E-190 E2 jets, giving its pilots the ability to use their front-panel avionics and electronic flight bag (EFB) tablets interchangeably.",Aviation Today,Aviation Today,Self-awareness,Comercial
Turkish Airlines has an eye on A220 and Embraer´s E2 jets,"But your ambitions are greater than that. Owner of one of the largest fleets currently with 336 aircraft, the Turkish airline is undergoing rapid modernization and expansion. In June, the company received its first 787-9 and today has six units of the model. Not satisfied, Turkish closed deal with Airbus to acquire 25 Airbus A350-900 jets – the first of which will be delivered in 2020.",Airway1,Airway1,Self-awareness,Comercial
Textron Aviation opens warehouse at Essendon Fields Airport,"Manufacturer of the Beechcraft, Cessna and Hawker brands and a leading general aviation authority, Textron Aviation has opened an aircraft parts warehouse at Essendon Fields Airport in Australia.",HMG Aerospace,HMG Aerospace,New facility,Executive
Boeing e Safran investem em novos sistemas de energia elétrica,"A Boeing e a Safran anunciaram hoje um investimento conjunto na Electric Power Systems (EPS), uma empresa que oferece um conjunto de produtos de armazenamento de energia seguros, certificáveis e leves.",Aeroflap,Aeroflap,Investment,Generic
China will need 8090 new airplanes over next 20 years - Boeing,"BEIJING (Reuters) - Chinese airlines will need 8,090 new airplanes worth nearly $1.3 trillion over the next 20 years, Boeing Co (BA.N) said on Tuesday",Reuters,Reuters,Market,Comercial
Project Management Institute Announces Finalists for the 2019 PMI Project of the Year Award,"Today, Project Management Institute (PMI) announced the finalists for the 2019 PMI Project of the Year Award. The winner will be announced on Saturday, October 5 during the awards gala at the PMI Global Conference 2019 in Philadelphia, Pennsylvania.",Business Wire,Business Wire,Self-awareness,Generic
Prime Capital further expands aviation activities,"Prime Capital AG has again expanded its offering to invest in the aviation market. With a financing volume of more than USD 1 billion in more than 200 aircraft, the independent asset manager and financial services provider has become one of the leading German investment managers in the aviation financing market.",Private Equity Wire,Private Equity Wire,Expansion,Generic
Austrian Airlines trials autonomous drones for aircraft inspection,"Austrian Airlines has been looking to speed up its aircraft maintenance operations by deploying autonomous drones made by a French start-up Donecle. If the new technology works out as intended, these drones would then permanently join the airlines' engineering teams in the future.",TechSpot,TechSpot,New technology,Generic
Comair takes aircraft maintenance in-house and looks to expand ancillary businesses,"The JSE’s only listed aviation company, Comair, which is under new management, is expanding into aircraft maintenance and airport lounges in order to maintain its record of 70 years of uninterrupted profit. ",Business Day,Business Day,Expansion,Comercial
Metrojet Hong Kong MRO receives Qatar approval,"Metrojet’s Maintenance, Repair and Overhaul business in Hong Kong has recently received approval from the Qatar Civil Aviation Authority as an Approved Maintenance Organisation for Qatar-registered aircraft.",Business Airport International,Business Airport International,Other serving Embraer airplanes,Comercial
Analyst: Wave of New Bizjets Appear Waiting in Wings,"The business jet market appears primed for several new aircraft unveilings, a key business aviation market analyst believes, suggesting that Gulfstream, Honda Aircraft, and others might “soon be taking the wraps off new planes.”",Aviation International News,Aviation International News,Market,Executive
"Alpha Aviation Group inaugurates $11-million simulator center, A320 FFS 2.0","An $11-million simulator training center expansion project that houses four additional simulator bays, including a brand-new Airbus A320 full flight simulator (FFS) version 2.0, were inaugurated by the Alpha Aviation Group (AAG) here on Friday.",Business Mirror,Business Mirror,New facility,Comercial
FSI Intros Differences Training for Nextant 604XT,"The FAA recently approved this differences training, which is required for.It also brings the aircraft into ADS-B compliance and replaces aging CRT displays",Aviation International News,Aviation International News,New service,Generic
SGI Aviation Services adds CAOM services in partnership with,?,CAPA,CAPA,,
Flying Colours marks 30 years with steady growth,"Back then, founder John Gillespie merged his small aircraft sales and.He gradually added additional services, including maintenance, overhaul and interior.VIP conversions, maintenance, repair and overhaul (MRO) services, exterior paint.GE Aviation, Collins Aerospace, Gogo, Honeywell and Raisbeck Engineering",Skies Magazine,Skies Magazine,New facility,Executive
AAR Wins Parts Supply Contract with Mitsubishi Heavy Industries Aero Engines,"AAR signed its largest commercial deal in Japan to date, a multimillion dollar Parts Supply agreement with Mitsubishi Heavy Industries Aero Engines, Ltd. (MHIAEL). AAR will begin work immediately as the parts supplier for MHIAEL’s PW4000 engine maintenance with international commercial airlines",AviationPros.com,AviationPros.com,Deal,Comercial
"Airbus Sees Demand For 39,000 New Aircraft By 2038","Today, Airbus released a statement on their website, following a recent press conference, with predictions that the aviation industry will be in need of 39,000 new aircraft by 2038, many of which it will help to supply.",Simple Flying,Simple Flying,Market,Generic
TUI Airlines Belgium denies reports of plans to purchase E2 family,TUI Airlines Belgium denies reports of plans to purchase E2 family regional jets,CAPA,CAPA,Self-awareness,Comercial
Embraer's Slattery Sees Broad Benefits of Consolidation,"Not everyone has met the recent wave of consolidation in the aerospace industry with enthusiasm, but for Embraer Commercial Aircraft CEO John Slattery, the trend will prove beneficial in the long run as his customers come to appreciate the “accretive” value of Boeing’s acquisition of 80 percent of Embraer’s commercial business.",Aviation International News,Aviation International News,Self-awareness,Comercial
Vista Global brings fastest in-flight connectivity to private aviation,"Vista Global, the group simplifying private aviation, announces a revolutionary technology partnership with Collins Aerospace Systems that will provide private aviation customers with the fastest broadband speeds available. This is a further demonstration of Vista Global bringing the latest and most innovative technology to market and driving radical technological change across the private aviation industry. ",Travel Daily News International,Travel Daily News International,New technology,Executive
MRO Insider Adding AOG Service Functionality to App,"Maintenance price quote platform provider MRO Insider is adding new AOG service functionality to its mobile application for smartphones, tablets, or desktopÂ",Aviation International News,Aviation International News,New service,Generic
Textron Aviation Adds More Asia-Pacific Service Options,"TTextron Aviation has added authorized service capabilities in the Philippines with the addition of PhilJets Aero Services in Manila, the airframer announced this week. PhilJets’ 13,000-sq-ft hangar facility at Ninoy Aquino International Airport (MNL) is initially offering maintenance on Philippines-registered Beechcraft King Air 200, 250, 300 and 350 turboprops, and is pursuing type certification for Cessna Caravans and Beechcraft King Air 90s.",Aviation International News,Aviation International News,Expansion,Executive
"MRO: Airbus, AirAsia and Sepang Aircraft Engineering set their sights high","MRO: Airbus, AirAsia and Sepang Aircraft Engineering set their sights high.Sepang Aircraft Engineering's (SAE) new development project was announced as a major.of Airbus, had already inaugurated a new 12 000 m2 maintenance hangar just two years ago to meet.Cofounder of Journal de l'Aviation and AlertaviaÂ",Le Journal de l'Aviation,Le Journal de l'Aviation,Expansion,Comercial
AviationManuals Adds FBO Manual to Lineup,"AviationManuals has introduced a new manual to help managers and staff improve the professionalism, standards, and safety of their FBO operations. “For more than 20 years we have been a convenient and effective resource for helping aircraft operators improve their operations through the development of quality manuals. We are now channeling that extensive experience for FBOs,” ",Aviation International News,Aviation International News,Tech. Info,Generic
The increase in engine inspections is weighing on operations,"Rolls-Royce's Trent 1000 is continuing to generate a buzz, as the British engine manufacturer continues to work on the premature ageing problems affecting its Package B and Package C engines.",Le Journal de l'Aviation,Le Journal de l'Aviation,Reliability issues,Comercial
SGS heads out to conquer the MRO sector,MALAYSIA will build at least two aerospace and aviation institutions in the next decade as the government seeks to fill the talent void in the fast-growing and lucrative sector.,Le Journal de l'Aviation,Le Journal de l'Aviation,Expansion,Generic
France floats tariffs on US goods amid Airbus-Boeing dispute,PARIS â€” France's finance minister says Europe is ready to impose retaliatory tariffs next year on U.S. goods as part of a long-running dispute over subsidies toÂ,CityNews Calgary,CityNews Calgary,Trade deal,Generic
Safran Seats GB reduces inventory by 36% using analytics,"Safran Seats GB (Safran), a UK division of the aircraft interiors giant which specialises in manufacturing business and first-class aircraft seating (including Aura, Optima and Venus), has achieved a claimed 36% inventory reduction in just three months following the implementation of LeanDNA, a purpose-built analytics platform for factory inventory management.",Aircraft Interiors International,Aircraft Interiors International,New technology,Generic
Hayes touts benefits of UTC-Raytheon merger,"United Technologies Corp. Chairman and CEO Gregory Hayes on Thursday pressed his case for his company’s controversial planned merger with Raytheon, saying some analysts are misjudging the $100 billion tie-up because they don’t fully understand the Massachusetts defense contractor’s business.",Journal Inquirer,Journal Inquirer,M&A,Military
Russian company buys Jet Aviation's Moscow MRO operation,"In an unprecedented deal for the Russian aircraft maintenance, repair and overhaul (MRO) industry, Russian company VTS Jets has acquired Jet Aviation Moscow Vnukovo’s maintenance station from its Swiss founder and owner Jet Aviation, which in turn is part of the USA’s General Dynamics Corporation.",www.rusaviainsider.com,www.rusaviainsider.com,M&A,Executive
"MRO News Briefs, Sept. 8-14",AAR won a $118.6 million contract from the U.S. Naval Air Systems Command to deliver two Boeing 737-700 aircraft and associated support equipment to the U.S. Marine Corps.,MRO Network,MRO Network,Deal,Generic
Lockheed Martin Offers To Shoulder Risks On F-35 Maintenance,"The company would guarantee a fixed price to reach and exceed 80% fleet readiness by 2025, higher than most U.S. combat aircraft achieve today.",Forbes,Forbes,Gov. Contract.,Military
Airbus trialling connected technologies on A350-900 test aircraft,"Airbus is trialling new connected technologies to make airline operations more resilient, life easier for cabin crew and improve the passenger experience.",Australian Aviation,Australian Aviation,New technology,Comercial
Aircraft Fleet and MRO Demand Growth in Asia-Pacific,"Over the next decade, the commercial aircraft in-service fleet and MRO demand in Asia-Pacific are expected to increase.",MRO Network,MRO Network,Geopolitc environment,Generic
Bamboo Airways Plans For 100 Aircraft In Five Years Time,"Bamboo Airways is set to increase its fleet size to 100 by 2024 after it received permission from the Vietnamese Government. The startup airline currently has 16 aircraft on its books, having commenced operations towards the start of this year.",Simple Flying,Simple Flying,Expansion,Comercial
Phoenix Air awarded $500M federal contract,"Cartersville-based Phoenix Air Group, Inc. has been awarded a major 10-year, $500 million contract by the U.S. Department of State to provide aviation support services around the world.",Daily Tribune News,Daily Tribune News,Gov. Contract.,Executive
Parts Distribution: The New MRO Battleground,Aircraft parts distribution is an underappreciated and vital element of the aerospace ecosystem that is rapidly consolidating,MRO Network,MRO Network,Geopolitc environment,Generic
Generation six: training for future fighter aircraft,"While fifth-generation fighters such as the F-35 are still in their infancy, the aerospace community is already looking ahead to the sixth generation. With aircraft such as the UK’s Tempest on the horizon, Grant Turnbull finds out how future generations of pilots will be trained to use these increasingly complex platforms.",Airforce Technology,Airforce Technology,Training,Military
Hydraulics Are Good Candidates For Predictive Maintenance,"ATA Chapter 29 hydraulic systems are widely used in commercial aircraft to operate landing gear, wheels, brakes, flight controls, thrust reversers and other flight- and safety-critical components. Their reliability is thus critical to efficient flying, and doing predictive maintenance before defects ground aircraft can be a huge gain.",MRO Network,MRO Network,Tech. Info,Generic
"UK FBO Chains Plan Expansion in Manchester, Bournemouth","UK-based Weston Aviation is adding a fifth airport to its FBO chain, with a new operation at Manchester Airport announced today at the Air Charter Expo at London Biggin Hill Airport. ",Aviation International News,Aviation International News,Expansion,Executive
IAF may order 70 basic trainers made by HAL,"The HTT-40 is currently undergoing a string of elaborate tests at HAL to demonstrate that it is safe for rookie pilots and meets IAF’s exacting standards for trainer planes. Test pilots have wrapped up intensive flight tests but some brutal trials are yet to be conducted, said a second official.",Hindustan Times,Hindustan Times,Aircraft sales,Military
Airbus to Launch On-Demand Helicopter Services in China's,"Aircraft manufacturer Airbus plans to launch on-demand helicopter services in China, the company said Wednesday during a briefing.",Caixin Global,Caixin Global,New service,Other
